Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Lat","Lon"
"Outer Space","The Bastille - N Face > The Bastille > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748612/outer-space,3.9,-1,Trad,"5.10b/c R",2,,39.9307,-105.283
"Illusion Dweller","The Sentinel - West Face > The Sentinel > Real Hidden Valley > Hidden Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722065/illusion-dweller,3.8,-1,Trad,5.10b,1,100,34.01305,-116.17126
"Monkey Off My Back","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106811013/monkey-off-my-back,3.7,-1,Sport,5.8+,1,,44.37053,-121.14363
"Witness the Citrus","Fruit Wall > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110356279/witness-the-citrus,3.9,-1,Sport,5.11c,1,95,37.64504,-83.67849
Abracadaver,"Rockfellow Dome > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105794076/abracadaver,3.9,-1,Trad,5.11a,6,500,31.92692,-109.97782
Ultrasaurus,"Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106566444/ultrasaurus,3.9,-1,Sport,5.13a,1,115,39.9734,-105.2875
Dreamin',"Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105792268/dreamin,4.0,-1,Sport,5.12a,1,90,44.36598,-121.14688
"Direct Beckey","The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/105996498/direct-beckey,3.9,-1,"Trad, Alpine",5.11b,12,,44.06857,-114.97445
"Bullet the Blue Sky","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753382/bullet-the-blue-sky,4.0,-1,Sport,5.12c/d,1,,37.84519,-106.28863
"Wham Ridge","Vestal Peak > The Grenadiers > San Juans > Alpine Rock > Colorado",https://www.mountainproject.com/route/105757885/wham-ridge,3.8,-1,"Trad, Alpine","5.4 R",10,2000,37.6894,-107.602
Vesper,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/108781068/vesper,3.9,-1,Sport,5.12b,2,160,36.65703,-114.00822
"Igor Unchained","The Witch > The Needles > The Needles / Kern River > Western Sierra > California",https://www.mountainproject.com/route/105834219/igor-unchained,3.8,-1,Trad,5.9+,3,450,36.10721,-118.48021
Twinkie,"Phantasia > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106132213/twinkie,3.9,-1,Sport,5.12a,1,80,37.84495,-83.64369
"Apollo Reed","The Coliseum > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105989372/apollo-reed,3.9,-1,Sport,5.13a,1,90,38.24146,-80.84583
"Trap Dike (summer)","Mt Colden > E: High Peaks Region > Adirondacks > New York",https://www.mountainproject.com/route/106066142/trap-dike-summer,3.8,-1,Trad,4th,1,2000,44.12813,-73.95962
"Triassic Sands","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732392/triassic-sands,3.8,-1,Trad,5.10,6,700,36.03509,-115.46345
"Death and Transfiguration","Green Mountain Pinnacle > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105750424/death-and-transfiguration,4.0,-1,Trad,5.11b,1,75,39.98359,-105.29379
"Airy Interlude","The Witch > The Needles > The Needles / Kern River > Western Sierra > California",https://www.mountainproject.com/route/105834215/airy-interlude,3.9,-1,Trad,5.10a,3,,36.10721,-118.48021
"Shune's Buttress","Red Arch Mountain > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105880156/shunes-buttress,3.9,-1,Trad,5.11+,8,800,37.25533,-112.94913
Insomnia,"Buttress of Cracks - Left Side > (l) Buttress of Cracks > Suicide Rock > Tahquitz & Suicide Rocks > California",https://www.mountainproject.com/route/105788118/insomnia,4.0,-1,Trad,5.11b/c,1,100,33.76989,-116.69427
"Lowe Route","Question Mark Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741137/lowe-route,3.9,-1,"Trad, Alpine",5.8,3,,40.52459,-111.75637
"Direct Route","First Flatiron > North > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/105748268/direct-route,3.6,-1,Trad,"5.6 R",10,,39.9908,-105.2928
"Thin Ice","The Sorcerer > The Needles > The Needles / Kern River > Western Sierra > California",https://www.mountainproject.com/route/105834294/thin-ice,3.9,-1,Trad,5.10b,3,,36.10745,-118.48148
"Irene's Arete","Disappointment Peak > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105804852/irenes-arete,3.8,-1,"Trad, Alpine",5.8,7,,43.73345,-110.79302
"Acid Baby","Aasgard Sentinel > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/109928434/acid-baby,3.8,-1,Trad,5.10+,7,1000,47.48368,-120.82188
"Star Chek","Galaxy Buttress > The Gorge > Sea to Sky (Squamish to Whistler) > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107104796/star-chek,3.4,-1,Sport,5.8+,3,400,49.924,-123.1675
"Figures on a Landscape (aka Monkey on My Back)","North Astro Dome - Northeast Face > North Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105721816/figures-on-a-landscape-aka-monkey-on-my-back,3.9,-1,Trad,"5.10b R",3,250,34.03886,-116.14762
"Royal Arches (5.10- or 5.7 A0)","Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,3.3,-1,"Trad, Aid","5.10a/b A0",15,2000,37.74724,-119.57128
"Pumpy Overhang","The Slab > South > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/107177226/pumpy-overhang,3.9,-1,Sport,5.13a,1,115,39.9629,-105.287
Sheila,"Pratt's Crack / Dihedrals Area > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105967548/sheila,3.9,-1,Trad,5.10b,1,180,37.38393,-118.67712
"The Fox","The Fox Area > 01-Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732254/the-fox,3.9,-1,Trad,5.10+,1,150,36.14972,-115.42732
